                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9775,                 4.3411,                 4.3602,                 3.7147,                 6.5957,                 4.4938,                      0,                      0,                      0,                      0,                 4.2851,                 4.3672,                 4.1583,                 4.1531,                 7.0352,                 4.1583,              7.145e-05,              7.145e-05,              7.145e-05
                      2,                 3.8947,                 4.3663,                 4.3619,                 3.6216,                 6.8279,                 4.5268,                      0,                      0,                      0,                      0,                 4.2846,                 4.3671,                 4.1574,                 4.1526,                 7.0348,                 4.1575,             0.00015711,             0.00015711,             0.00015711
                      3,                 3.8595,                 4.2821,                 4.2521,                 3.6216,                 6.4109,                 4.3665,                      0,                      0,                      0,                      0,                 4.2843,                 4.3668,                  4.157,                 4.1529,                 7.0313,                 4.1571,             0.00024269,             0.00024269,             0.00024269
                      4,                 3.7479,                 4.1986,                 4.1508,                 3.4631,                 6.3084,                 4.2436,                      0,                      0,                      0,                      0,                 4.2845,                 4.3666,                 4.1578,                 4.1557,                 7.0281,                 4.1583,             0.00032818,             0.00032818,             0.00032818
                      5,                 3.6269,                 4.0567,                 4.0483,                 3.3377,                 5.8518,                 4.1206,                      0,                      0,                      0,                      0,                 4.2848,                 4.3671,                 4.1595,                 4.1616,                 7.0213,                  4.162,             0.00041359,             0.00041359,             0.00041359
                      6,                 3.5753,                 3.8689,                 3.9149,                 3.2677,                 5.4002,                 3.9256,                      0,                      0,                      0,                      0,                 4.2879,                 4.3692,                 4.1657,                 4.1716,                 7.0135,                   4.17,             0.00049891,             0.00049891,             0.00049891
                      7,                 3.3365,                 3.7131,                 3.7502,                  2.994,                 5.0282,                 3.6591,                      0,                      0,                      0,                      0,                 4.3095,                 4.3788,                 4.1923,                 4.1969,                 7.0102,                 4.1879,             0.00058415,             0.00058415,             0.00058415
                      8,                 3.2358,                 3.6126,                 3.6097,                 2.8956,                 4.9145,                 3.4658,                      0,                      0,                      0,                      0,                 4.3215,                 4.3934,                 4.2206,                 4.2214,                 6.9865,                 4.2086,              0.0006693,              0.0006693,              0.0006693
                      9,                 3.1956,                 3.4703,                 3.4236,                 2.8239,                  4.692,                 3.2592,                      0,                      0,                      0,                      0,                 4.3083,                 4.4007,                 4.2202,                 4.2309,                 6.9186,                 4.2165,             0.00075437,             0.00075437,             0.00075437
                     10,                 3.1117,                   3.36,                 3.3387,                 2.7029,                 4.5537,                 3.1674,                      0,                      0,                      0,                      0,                 4.2558,                 4.3952,                  4.182,                 4.2166,                  6.811,                  4.206,             0.00083935,             0.00083935,             0.00083935
                     11,                  3.019,                 3.2513,                 3.1792,                 2.6264,                 4.3529,                 3.0062,                      0,                      0,                      0,                      0,                 4.3052,                 4.4151,                 4.2389,                 4.2508,                 6.7453,                 4.2385,             0.00092425,             0.00092425,             0.00092425
                     12,                 2.9534,                 3.1723,                 3.1158,                 2.5674,                 4.2384,                 2.9668,                0.00606,                0.01905,                0.00324,                0.00064,                 4.3904,                 4.4554,                 4.3238,                 4.3089,                 6.6773,                 4.2898,              0.0010091,              0.0010091,              0.0010091
                     13,                 2.7872,                 3.0863,                 3.0256,                 2.4433,                 4.1495,                 2.8344,                0.00115,                0.02857,                0.00105,                0.00026,                 4.3359,                 4.4494,                 4.2668,                 4.2905,                 6.5317,                 4.2736,              0.0010938,              0.0010938,              0.0010938
                     14,                  2.697,                 2.9973,                 2.9322,                 2.3118,                 4.0757,                 2.7074,                0.00121,                 0.0381,                0.00098,                0.00022,                 4.3316,                 4.4863,                 4.2725,                 4.2764,                 6.3841,                 4.2801,              0.0011784,              0.0011784,              0.0011784
                     15,                 2.7136,                 2.9326,                 2.9002,                  2.335,                 4.0122,                 2.6398,                0.00117,                0.04762,                0.00093,                0.00018,                 4.0144,                 4.4403,                 4.0658,                 3.7374,                 5.8975,                 4.0165,               0.001263,               0.001263,               0.001263
                     16,                 2.5676,                 2.7822,                 2.7798,                 2.2313,                 3.7278,                 2.5286,                0.00091,                 0.0381,                0.00467,                0.00055,                 3.5867,                 4.1852,                 3.5609,                 3.2008,                 5.3555,                 3.3438,              0.0013475,              0.0013475,              0.0013475
                     17,                   2.55,                 2.7517,                 2.7525,                 2.2772,                  3.727,                 2.4954,                0.00154,                0.08248,                 0.0013,                0.00034,                 3.3856,                 4.0818,                 3.4154,                 2.9569,                 5.1534,                 3.1455,              0.0014177,              0.0014177,              0.0014177
                     18,                 2.4516,                 2.6265,                 2.6451,                 2.1277,                 3.5265,                 2.3638,                0.00202,                0.17448,                0.00343,                0.00076,                 2.9429,                 3.8577,                 3.0274,                 2.5904,                 5.0003,                 2.7077,              0.0014177,              0.0014177,              0.0014177
                     19,                 2.4086,                 2.5446,                 2.5825,                 2.1339,                 3.3982,                 2.2844,                0.00815,                0.30229,                0.03176,                0.01182,                 2.6263,                 3.5228,                 2.7236,                  2.372,                 4.6309,                 2.5075,               0.001417,               0.001417,               0.001417
